author,author_href,description,number_of_user_opinions,number_of_user_ratings,number_of_discussions,Kategoria,Format,Cykl,Tytuł oryginału,Wydawnictwo,Data wydania,Data 1. wyd. pol.,Data 1. wydania,Liczba stron,Czas czytania,Język,ISBN,Tłumacz,Ekranizacje,number_of_people_read,number_of_people_has,number_of_people_favorite,number_of_people_wants_to_read,number_of_people_wants_as_gift,number_of_people_currently_read,tags,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,Inne,author1,author_href1,Seria,author2,author_href2
Emily Jane Brontë,https://lubimyczytac.pl/autor/24634/emily-jane-bronte," Historia tragicznej miłości i zemsty osnuta na tle dziejów trzech pokoleń dwóch ziemiańskich rodzin, opowieść, której scenerię stanowią tajemnicze i urzekające wrzosowiska północnej AngliiMały chłopiec, Heathcliff, jako osierocone dziecko trafia do domu Earnshawów. Wychowując się w tej zamożnej rodzinie, obdarza odwzajemnioną miłością Katarzynę, córkę swoich przybranych rodziców. Prześladowany przez przyszłego dziedzica Hindleya, poznaje też smak nienawiści. Gdy przekonuje się, że konwenanse mogą pokonać nawet najsilniejszą miłość, znika na trzy lata, aby powrócić jako dysponujący fortuną niewiadomego pochodzenia, demoniczny i bezwzględny mściciel. Od tego momentu nikomu w rodzinie nie będzie łatwo znaleźć własne szczęście. „Piekielna to była wyobraźnia i piekło musiała nosić w sobie ta spokojna pozornie dziewczyna. Dla nas pozostała tajemniczym, zachwycającym zjawiskiem”. Jarosław Iwaszkiewicz ",1769,20679,0,literatura piękna,papier,,,Bellona,2024-11-27,1847-01-01,1847-12-01,368,6  godz. 8 min.,polski,9788311174436,,,28188,6998,2448,14103,325,591,miłość&zemsta&tragedia&rodzina&wrzosowiska&Anglia&klasyka literatury&demoniczny bohater&romans&literatura angielska,2606,3505,4426,5522,2539,1242,382,318,82,57,#0 Top 100 1 nagroda,,,,,
Stephen King,https://lubimyczytac.pl/autor/13997/stephen-king," Specjalne wydanie bestsellerowej powieści „Carrie”, która w 2024 r. obchodzi pięćdziesiątą rocznicę publikacji. W oprawie zintegrowanej, z barwionymi brzegami i przedmową autorstwa Margaret Atwood.Carrie White jest inna. Dziwna. Jej matka, religijna fanatyczka, zakazała córce chodzenia na imprezy, spędzania czasu z chłopcami i ubierania się tak jak rówieśnicy. Samotna, nieśmiała i niezbyt ładna Carrie stanowi obiekt kpin ze strony otoczenia. Jednak nikt nie wie, że dziewczyna ukrywa coś przed światem: posiada moc telekinezy, którą w sekrecie doskonali, a która w końcu przyczyni się do jej zguby…Na razie jednak zbliża się wiosenny bal. Sue, koleżanka Carrie z liceum, ma wyrzuty sumienia, że przyłożyła rękę do dręczenia niewinnej dziewczyny. Prosi swojego chłopaka, szkolnego przystojniaka Tommy’ego Rossa, żeby zaprosił Carrie na bal. Para nie zdaje sobie jednak sprawy, że ich próba wyciągnięcia ręki do nastolatki zostanie wykorzystana przez okrutnych rówieśników.Kiedy na balu sprawy przybierają zły obrót, w Carrie coś pęka. Dziewczyna rozpętuje prawdziwe piekło, a jej celem stają się wszyscy, którzy kiedykolwiek ją zranili. Wtedy prześladowcy Carrie odkrywają, że popełnili ogromny błąd.Błąd, który być może będzie kosztować ich życie… ",1522,20448,0,horror,papier,,Carrie,Prószyński i S-ka,2024-10-10,1990-01-01,1981-01-01,272,4  godz. 32 min.,polski,9788383524177,Danuta Górska,Carrie (2013),27967,5088,793,7417,214,258,King&horror&groza&ekranizacja,953,1731,3771,6803,4550,1800,442,282,68,48,,,,,,
Frank Herbert,https://lubimyczytac.pl/autor/3481/frank-herbert," Arrakis, zwana Diuną, to jedyne we wszechświecie źródło melanżu. Z rozkazu Padyszacha Imperatora planetę przejmują Atrydzi, zaciekli wrogowie władających nią dotychczas Harkonnenów. Zwycięstwo księcia Leto Atrydy jest jednak pozorne – przejęcie planety ukartowano. W odpowiedzi na atak Imperium i Harkonnenów dziedzic rodu Atrydów Paul staje na czele rdzennych mieszkańców Diuny i sięga po imperialny tron. Oszałamiające połączenie przygody oraz mistycyzmu, ekologii i polityki.""Diuna"" otrzymała dwie najbardziej prestiżowe nagrody SF: Nebula i Hugo.Dom Wydawniczy REBIS oddaje czytelnikom nowe, poprawione wydanie cyklu „Kroniki Diuny”, który tworzą: ""Diuna"", ""Mesjasz Diuny"", ""Dzieci Diuny"", ""Bóg Imperator Diuny"", ""Heretycy Diuny"" i ""Kapitularz Diuną"".Najnowszą ekranizację ""Diuny"" wyreżyserował Denis Villeneuve (""Blade Runner 2049"", ""Sicario""). Autorami scenariusza są Eric Roth (""Forrest Gump""),Jon Spaihts (""Doktor Strange"") i Denis Villeneuve, a muzyki – Hans Zimmer (""Gladiator"", ""Incepcja"", ""Dunkierka""). W obsadzie gwiazdy światowego kina: Timothée Chalamet, Rebecca Ferguson, Stellan Skarsgård, Jason Momoa, Charlotte Rampling, Javier Bardem, Josh Brolin, Zendaya i Oscar Isaac. ",1815,20813,2,"fantasy, science fiction",papier,Kroniki Diuny (tom 1),Dune,Rebis,2024-01-01,1985-01-01,1965-01-01,777,12  godz. 57 min.,polski,9788381884105,Marek Marszał,Diuna (1984)  Diuna część 1 (2021)  Diuna część 2 (2024),25746,5709,1498,16362,282,1456,,3725,5645,5612,3654,1393,461,148,123,30,22,,,,Diuna,,
E. L. James,https://lubimyczytac.pl/autor/65774/e-l-james," Kobiety na jej punkcie szaleją.Mężczyźni wiele zawdzięczają.Biblioteki apelują, by wycofać z obiegu.A powieść sprzedaje się w tempie egzemplarza na minutę!!! Trylogia „Pięćdziesiąt odcieni” rozpętała na świecie prawdziwe szaleństwo.Sprzedaż w Stanach Zjednoczonych sięgnęła 15 milionów już w pierwszych trzech miesiącach sprzedaży. Dla porównania osiągnięcie takiego sukcesu zajęło trylogii Stiega Larssona trzy lata!Powieść okupuje nieprzerwanie jednocześnie pierwszą, drugą i trzecią pozycję na prestiżowej liście bestsellerów e-bookowych magazynu „The New York Times”!Prawa do zagranicznych wydań sprzedano w kilka dni do kilkudziesięciu krajów!Prawa filmowe nabył Universal Pictures na drodze aukcji za niebagatelną kwotę pięciu milionów dolarów!Sprzedaż w Wielkiej Brytanii sięgnęła 100 000 egzemplarzy zaledwie w 7 dni od premiery!Pięćdziesiąt twarzy Greya to również najlepiej sprzedający się e-book w historii Random House UK!Ich przypadkowe spotkanie dało początek fali namiętności, która z czasem wcale nie osłabła. Wspólna codzienność okazała się nie lada wyzwaniem, któremu Anastasia i Chrstian dzielnie stawiają czoła w imię łączącego ich uczucia. Kochankowie wciąż dryfują po wzburzonym morzu uczuć, targani namiętnością i rozterkami, niepewni tego, co zgotuje im los. Czy najbardziej poruszająca historia miłosna tego roku zakończy się happy endem? A może piękny sen przerwie były szef Any, Jack Hyde, który poprzysiągł zemsty i cierpliwie czeka na swoją szansę? ",1323,20542,0,"literatura obyczajowa, romans",papier,Pięćdziesiąt odcieni (tom 3),Fifty Shades Freed,Sonia Draga,2013-01-09,2013-01-09,2012-01-01,688,11  godz. 28 min.,polski,9788375085969,Monika Wyrwas-Wiśniewska,,30116,5657,1547,2981,301,405,powieść erotyczna&BDSM,2709,1291,2459,3489,3881,2540,1490,1282,712,689,,,,,,
Simon Beckett,https://lubimyczytac.pl/autor/14005/simon-beckett," Minęły trzy lata, odkąd David Hunter, wybitny antropolog sądowy, przeprowadził się do prowincjonalnego miasteczka, uciekając przed londyńskim zgiełkiem, swoją pracą i tragedią życiową, która go spotkała.Spokój w miasteczku i życiu Davida zostaje zaburzony, gdy pewnego dnia w okolicznym lesie zostają znalezione zwłoki kobiety. Hunter, w przeszłości specjalista od badania ludzkich szczątków, dziś niechętnie zgadza się na współpracę przy policyjnym śledztwie. Gdy jednak znika kolejna kobieta, doktor Hunter nie może już stać z boku. Sprawa dotyka go osobiście.Wynaturzone, bestialskie metody zabójcy, miasteczko opętane nienawistną podejrzliwością – wokół gęstnieje mrok, a czas ucieka. David musi podążać szlakiem makabrycznych wskazówek aż do przerażającego finału. ",2090,20585,0,"kryminał, sensacja, thriller",papier,Dr David Hunter (tom 1),The Chemistry of Death,Czarna Owca,2020-08-12,2006-01-01,2007-01-01,368,6  godz. 8 min.,polski,9788381435987,Berenika Janczarska,,26318,4780,1425,9268,139,297,,2228,3272,6304,5606,2142,729,157,106,18,23,,,,,,
Gabriel García Márquez,https://lubimyczytac.pl/autor/17269/gabriel-garcia-marquez," Wydanie specjalne, z ilustracjami chilijskiej artystki Luisy Rivery.Miała to być pierwsza powieść Gabriela Garcíi Marqueza. Dzięki swym dziadkom znał od dziecka historię Macondo i dzieje rodziny Buendía, prześladowanej fatum kazirodztwa. Świat, w którym rzeczy nadzwyczajne miały wymiar szarej codzienności, zwyczajność zaś przyjmowana była jak zjawisko nadprzyrodzone; świat bez czasu, gdzie wiele rzeczy nie miało jeszcze nazw, był też jego światem. Potrzebował aż dwudziestu lat, by wreszcie spisać te rodzinne opowieści z całym dobrodziejstwem i przekleństwem odniesień biblijnych, baśniowych, literackich, politycznych; uświadomił nam, że „plemiona skazane na sto lat samotności nie mają już drugiej szansy na ziemi”. ",1438,19874,0,klasyka,papier,,Cien años de soledad,Muza,2022-11-23,1975-01-01,1967-05-01,400,6  godz. 40 min.,polski,9788328725102,"Kalina Wojciechowska, Grażyna Grudzińska",Sto lat samotności (2024),26359,5033,1928,19901,319,916,Ameryka Południowa&kazirodztwo&klasyka literatury&literatura kolumbijska&los&miłość&namiętność&Nagroda Nobla&Nobel&noblista&przeznaczenie&realizm magiczny&relacje rodzinne&rodzina&śmierć,3795,4271,4048,3875,1776,992,399,457,130,131,#0 Top 100 1 nagroda,,,,,
Becca Fitzpatrick,https://lubimyczytac.pl/autor/30151/becca-fitzpatrick," Demon. Upadły anioł. Błądzi po ziemi i przejmuje ludzkie ciało.Uwodzi, dominuje, dręczy i pochłania w całości...Nora od pierwszej chwili spotkania z Patchem w szkole wie, że głęboka czerń jego oczu więcej skrywa, niż ujawnia. Chłopak jest uwodzicielski i tajemniczy, a ona coraz bardziej zafascynowana jego enigmatyczną charyzmą.Patch jest także przerażający. Od kiedy Nora go poznała, ma wrażenie, że ktoś ją śledzi, i nie może pozbyć się podejrzeń, że to Patch ma z tym coś wspólnego… Jak to się dzieje, że czyta jej w myślach? Skąd pochodzi i dlaczego tak ją pociąga? Co oznacza dziwna blizna na jego plecach?Przez tego chłopaka rozsądna Nora traci głowę i wplątuje się w wydarzenia, w których niebo i piekło są bardzo blisko siebie.Przeżyj niewyobrażalne emocje i doznaj nieziemskiej namiętności. Bo czasem zdarza się miłość nie z tego świata… ",2266,19646,0,"fantasy, science fiction",papier,Szeptem (tom 1),Hush Hush,Poradnia K,2024-02-14,2010-01-13,2009-10-13,328,5  godz. 28 min.,polski,9788367784252,Paweł Łopatka,,27851,5593,3295,8322,618,240,szeptem&hush&Becca Fitzpatrick&Demon&Anioły&Young Adult,3751,2852,3441,3939,2557,1509,572,568,220,237,,,,,,
Cassandra Clare,https://lubimyczytac.pl/autor/3373/cassandra-clare," Clary Fray chciałaby, żeby jej życie znowu stało się normalne. Ale czy cokolwiek może takie być, skoro dziewczyna jest Nocnym Łowcą zabijającym demony, jej matka została magicznie wprowadzona w stan śpiączki, a ona sama nagle zaczyna widzieć mieszkańców Podziemnego Świata – wilkołaki, wampiry, wróżki… ",1004,19729,0,"fantasy, science fiction",papier,Dary Anioła (tom 2),City of ashes,Mag,2017-11-08,2009-10-21,2008-01-01,432,7  godz. 12 min.,polski,9788374808934,Anna Reszka,,29725,6666,3508,6546,475,302,Dary Anioła&Shadowhunters&Nocni Łowcy,3780,3118,4639,4529,2249,875,286,177,44,32,,,,,,
Paulo Coelho,https://lubimyczytac.pl/autor/14849/paulo-coelho," „Najsilniejsza jest taka miłość, która nie walczy ze swoją słabością”.Maria, młoda dziewczyna z brazylijskiej prowincji, wyrusza w daleką podróż. Jednak światjest inny, niż sobie wyobrażała. Gorzkie doświadczenia sprawiają, że zostaje prostytutką.Decyduje się na życie bez miłości i wpada w pułapkę, z której wybawić ją może jedyniemiłość… Jedenaście minut to współczesna baśń dla dorosłych, przypowieść o seksie imiłości, a także o przeznaczeniu, które sprawia, że kręte ścieżki naszego losu mogąnieoczekiwanie poprowadzić nas ku szczęściu, choć dawno przestaliśmy w nie wierzyć.""Jedenaście minut"" to zarazem głębokie studium o naszej seksualności, o jej sacrum i profanum,o jednej z najważniejszych i zarazem najbardziej zakłamanych sfer naszego życia. Topowieść, która nie pozwala na obojętność i budzi nadzieję, że spotkanie z drugimczłowiekiem może być najważniejszym doświadczeniem naszego życia. ",1045,19301,0,literatura piękna,papier,,Onze minutos,Drzewo Babel,2024-06-05,2004-01-01,2003-01-01,256,4  godz. 16 min.,polski,9788368087086,"Marek Janczur, Barbara Stępień",,27761,3907,1019,3693,162,175,miłość&sex,1060,1791,2243,5057,3990,2653,847,1016,267,377,,,,,,
Stefan Żeromski,https://lubimyczytac.pl/autor/6394/stefan-zeromski," Cezary Baryka rozdarty pomiędzy ideami rewolucji a utopią ""szklanych domów"", poszukuje własnej drogi. ",746,19147,0,literatura piękna,papier,,,Świat Książki,2024-06-05,1953-01-01,1969-01-01,,,polski,9788382893984,,Przedwiośnie (2001),31696,3840,379,1899,,226,lektura szkolna&literatura polska&literatura XX w.,433,912,1962,5063,4995,3310,1054,982,187,249,,,,Kolekcja klasyki polskiej,,
George R.R. Martin,https://lubimyczytac.pl/autor/19287/george-r-r-martin," Królewską Przystanią wstrząsa wieść o śmierci Tywina Lannistera. Brienne wciąż wędruje po trakcie w nadziei odnalezienia Sansy Stark. W bibliotece nocnej straży na murze Samwell Tarly szuka wskazówki, jak pokonać Innych.Po stuleciach ciągłych wojen i zdrad siedem osłabionych potęg dzielących władzę nad krainą zawarło ze sobą rozejm. Tak się przynajmniej wydaje. Po śmierci króla potwora, Joffreya, Cersei przejęła władzę w Królewskiej Przystani. Śmierć Robba Starka złamała kręgosłup buntowi północy, a rodzeństwo Młodego Wilka rozproszyło się po całym królestwie. Trwająca tak długo wojna wreszcie się wypaliła.Jednakże wkrótce zaczynają się zbierać niedobitki, banici, renegaci i padlinożercy, którzy ogryzają kości poległych i łupią tych, którzy wkrótce również rozstaną się z życiem. W Siedmiu Królestwach ludzkie wrony zgromadziły się na bankiet z popiołów... ",585,19186,0,"fantasy, science fiction",papier,Pieśń Lodu i Ognia (tom 4.1),A Feast for Crows. Shadows of Death,Zysk i S-ka,2024-12-12,2006-01-01,2004-02-01,480,8  godz. 0 min.,polski,9788383353920,Michał Jakuszewski,,26625,5943,1594,6598,422,298,,2459,3243,5711,4861,2163,559,114,52,13,11,,,,,,
J.R.R. Tolkien,https://lubimyczytac.pl/autor/3216/j-r-r-tolkien," Wznowienie najsłynniejszego dzieła Tolkiena w jednym tomie.Wydanie z magicznymi ilustracjami Alana Lee, które zainspirowały twórców filmu.W zamierzchłych czasach kowale elfów wykuli Pierścienie Mocy. Lecz Mroczny Władca, stworzył w tajemnicy Jedyny Pierścień, aby rządził pozostałymi. Ale Pierścień zniknął na wiele wieków w Śródziemiu, zanim trafił w ręce hobbita, którego przeznaczeniem stało się jego zniszczenie...W tej książce Tolkien powołał do życia swoją niezwykłą krainę fantazji: oszałamiający świat Śródziemia. Pełny kształt nadał mu 17 lat później w trylogii „Władca Pierścieni” – fantastycznej epopei, jedynej w swoim rodzaju powieści przygodowej osnutej na starożytnej legendzie i z głębokim wydźwiękiem etycznym. Ogniwem łączącym obie książki jest Pierścień. „W Hobbicie” to po prostu magiczny przedmiot, we „Władcy Pierścieni” – już potężne narzędzie zła decydujące o losach świata. Świata, dla którego ratunkiem staje się nie siła umysłu czy oręża, lecz zwykły odruch serca, czysto ludzka – choć uosabiana przez hobbita – zdolność do okazania miłosierdzia. ",1046,18918,1,"fantasy, science fiction",papier,Władca Pierścieni (tom 1-3),Lord of the Rings,Amber,2015-09-02,1997-01-01,1992-01-01,1024,17  godz. 4 min.,polski,9788324148622,"Aleksandra Jagiełowicz, Aleksandra Januszewska, Cezary Frąc, Maria Gębicka-Frąc, Tadeusz Olszański, Ryszard Derdziński",,25614,6632,2762,6392,308,893,#fantasy,7279,5107,3209,2058,680,315,107,106,25,32,,,,,,
Remigiusz Mróz,https://lubimyczytac.pl/autor/82094/remigiusz-mroz," Trzyletnia dziewczynka znika bez śladu z domku letniskowego bogatych rodziców. Alarm przez całą noc był włączony, a okna i drzwi zamknięte. Śledczy nie odnajdują żadnych poszlak świadczących o porwaniu i podejrzewają, że dziecko nie żyje.Doświadczona prawniczka, Joanna Chyłka, i jej początkujący podopieczny, Kordian Oryński, podejmują się obrony małżeństwa, któremu prokuratura stawia zarzut zabójstwa. Proces ma charakter poszlakowy, mimo to wszystko zdaje się wskazywać na winę rodziców – wszak gdy wyeliminuje się to, co niemożliwe, cokolwiek pozostanie, musi być prawdą… ",1574,19427,0,"kryminał, sensacja, thriller",papier,Joanna Chyłka (tom 2),,Czwarta Strona,2015-10-21,2015-01-01,,512,8  godz. 32 min.,polski,9788379762996,,,26360,3601,530,3858,,214,,1743,2154,6011,6164,2314,678,183,100,47,33,#0 Top 100 1 nagroda,,,,,
Barbara Rosiek,https://lubimyczytac.pl/autor/20097/barbara-rosiek," To prawdziwe notatki dziewczyny, później kobiety, w których zamkniętych zostało piętnaście lat życia na krawędzi, we wciąż na nowo podejmowanej walce z nałogiem. Jej przejmujące, niejednokrotnie bardzo drastyczne świadectwo rodzi prawdę o piekle, jakim jest uzależnienie. Daty dzienne wyznaczają tu czas szkoły, pracy i wakacji, ale przede wszystkim czas życia i śmierci. ",1192,18626,0,"biografia, autobiografia, pamiętnik",papier,,,Mawit Druk,2008-01-01,1985-06-01,,304,5  godz. 4 min.,polski,9788392246985,,,28272,2219,922,5011,250,354,narkotyki&toksykomania&uzależnienie&dziennik&narkomania,1141,1444,2152,4862,4136,2765,822,909,184,211,,,,,,
Oscar Wilde,https://lubimyczytac.pl/autor/6944/oscar-wilde," Napisana w zachwycającym stylu jedyna powieść Oscara Wilde’a. Historia młodzieńca, który sprzedał duszę w zamian za wieczną młodość i piękno. Gdy spotyka na swej drodze cynicznego bywalca salonów Henryka, znajomość ta nie pozostaje bez wpływu na jego niewinną duszę. A kiedy urzeczony urodą chłopca malarz Bazyli Hallward maluje jego portret, Dorian wyraża życzenie, by na zawsze zachować piękno, jakie uchwycił portrecista. Od tej chwili każdy występek, każdy grzech, który wyrządza bliźnim, znajduje odzwierciedlenie w obrazie, sam Dorian jednak zachowuje niczym nieskażoną urodę. By zaspokoić własne potrzeby, bez skrupułów zaczyna ranić innych.Gdy powieść ujrzała światło dzienne w 1890 roku, wywoła skandal i przyczyniła się do ugruntowania reputacji poety jako pozbawionego moralności dandysa. Kilka lat później książkę oraz przedstawiony w niej dylemat estetyczno-moralny włączono do procesu wytoczonego poecie za związki homoseksualne, który zakończył się karą więzienia. Sam Wilde pisał w listach o kontekście autobiograficznym powieści: „Sam dostrzegam w sobie Bazylego Hallwarda. Świat widzi we mnie lorda Henryka. Kiedyś, być może w innej epoce, chciałbym stać się Dorianem”. ",1523,18717,0,literatura piękna,papier,,,Bellona,2024-11-27,1922-01-01,1890-01-01,256,4  godz. 16 min.,polski,9788311174405,,Portret Doriana Graya (1999),24696,4840,1925,16293,371,810,Array,2412,3543,4628,4773,2129,774,221,170,46,21,,,,,,
Vladimir Nabokov,https://lubimyczytac.pl/autor/16199/vladimir-nabokov," Najgłośniejsza powieść Vladimira Nabokova, uznawana za arcydzieło literatury światowej. Humbert Humbert – uczony, esteta i romantyk – zakochuje się bez pamięci w Dolores Haze, dwunastoletniej dziewczynce o jedwabistej skórze, która jest córką jego gospodyni. Czterdziestolatek ogarnięty obsesją na punkcie dziewczynki zgadza się na poślubienie pani Haze tylko po to, żeby być blisko Lolity.„Lolita” to arcydzieło o obsesji, złudzeniach i pożądaniu, do dziś budzące kontrowersje oraz gorące dyskusje o granice w literaturze. ",1437,18620,0,literatura piękna,papier,,Lolita,W.A.B.,2022-09-28,1991-01-01,1992-01-01,416,6  godz. 56 min.,polski,9788383182421,Michał Kłobukowski,Lolita (1998),25756,5529,1396,16261,275,1156,Nabokov&Humbert&Dolores Haze,1696,2850,3840,5255,2607,1295,399,438,107,133,#0 Top 100 2 nagrody,,,[Vladimir Nabokov w W.A.B.],,
Helen Fielding,https://lubimyczytac.pl/autor/17211/helen-fielding," Ta książka sprawi, że polubisz się za te cechy, których najbardziej się wstydzisz. Będziesz co rusz wybuchać śmiechem i wykrzykiwać: ""Bridget Jones to ja!"".Poznajdzie Bridget Jones singielkę trochę po trzydziestce, która jest pewna, że wszystko się ułoży, jeśli tylko:- straci na wadze trzy kilogramy,- przestanie palić,- osiągnie wewnętrzną równowagę.Bridget stara się odnieść życiowy sukces... albo przynajmniej osiągnąć wewnętrzną równowagę. Za każdym razem, gdy jej plany biorą w łeb, szuka pociechy w życiu towarzyskim i mówi sobie, że wszystko będzie dobrze już następnego dnia, kiedy to jej życie będzie wolne od alkoholu, zbędnych kalorii i emocjonalnych popaprańców. Oto pełna humoru kronika zdarzeń jednego roku z życia samokrytycznej Bridget Jones, roku, w którym bohaterka postanawia stworzyć sensowny związek z odpowiedzialnym mężczyzną. I zmniejszyć obwód ud o cztery centymetry. ",1215,18662,0,literatura piękna,papier,Bridget Jones (tom 1),Bridget Jones’s Diary,Zysk i S-ka,2014-03-03,1998-01-01,1996-01-01,368,6  godz. 8 min.,polski,9788377854211,Joanna Szczepańska,Dziennik Bridget Jones (2001),26798,4485,1011,4173,120,152,,890,1360,2468,5017,4312,2781,704,772,141,218,,,,,,
Veronica Roth,https://lubimyczytac.pl/autor/49754/veronica-roth," Wielki powrót bestsellerowej trylogii Niezgodna, która podbiła serca czytelników na całym świecie!FRAKCJA PONAD KRWIĄ.WYBRALIŚCIE NAS. TERAZ MY MUSIMY WYBRAĆ WAS.Dziesiątki lat temu zrozumiano, że źródłem konfliktów i chaosu na świecie są wady ludzkiej osobowości i zdolność jednostki do czynienia zła. W nadziei na zbudowanie lepszego systemu stworzono pięć frakcji: Altruizm, Prawość, Erudycję, Serdeczność i Nieustraszoność. Członkom każdej z nich przyświecają odmienne wartości: Altruiści w życiu kierują się bezinteresownością, Prawi ponad wszystko przedkładają szczerość, Erudyci za najwyższą wartość uważają wiedzę, Serdeczni potępiają agresję, a Nieustraszeni tchórzostwo. Ich wspólną misją jest wzajemnie się dopełniać, żyć w zgodzie i harmonii. Jednak czy ingerencja w prawdziwą naturę człowieka nie jest skazana na niepowodzenie?Beatrice Prior wraz z rówieśnikami z pozostałych frakcji podczas Ceremonii Wyboru zdecyduje, czy odpowiada jej obecne życie wśród Altruistów, czy na zawsze opuści swoją społeczność na rzecz innej. Porzucenie rodziny wydaje się niemożliwe, ale czy rzeczywiście takie jest? Zostało coraz mniej czasu na podjęcie decyzji, a test przynależności, który miał wskazać Beatrice właściwą drogę, jedynie spotęgował jej wątpliwości. Czy jeśli dziewczyna wystarczająco wiele razy powtórzy, że gdzieś pasuje, sama wreszcie w to uwierzy? Kim tak naprawdę jest i czy znajdzie w sobie odwagę, by pójść za głosem serca?Niezgodna to pierwszy tom młodzieżowej trylogii autorstwa Veroniki Roth. Idealna propozycja dla miłośników takich serii, jak Więzień labiryntu, Igrzyska śmierci i Mroczne umysły.Wydanie zawiera niepublikowaną wcześniej w Polsce nowelę z perspektywy Cztery. Wniknij w umysł tajemniczego instruktora nowicjuszy podczas kultowej sceny treningu w siedzibie Nieustraszonych ",1867,18684,0,"fantasy, science fiction",papier,Niezgodna (tom 1),Divergent,Moondrive,2024-08-05,2012-03-20,2012-02-02,368,6  godz. 8 min.,polski,9788381354097,Daniel Zych,Niezgodna (2014),26620,5627,2517,6635,372,296,fantasy&fantasy dla młodzieży&literatura amerykańska&literatura&miłość&młodzież&niebezpieczeństwo&odwag&przygoda&przyjaźń&śmierć&walka o przetrwanie&wizja przyszłości,2771,2528,4316,4437,2624,1089,471,288,91,69,,,,,,
Stephenie Meyer,https://lubimyczytac.pl/autor/14755/stephenie-meyer," Świat został opanowany przez niewidzialnego wroga. Najeźdźcy przejęli ludzkie ciała oraz umysły i wiodą w nich normalne życie. Jedną z ostatnich niezasiedlonych, wolnych istot ludzkich jest Melanie. Wpada jednak w ręce wroga, a w jej ciele zostaje umieszczona dusza o imieniu Wagabunda. Intruz bada myśli poprzedniej właścicielki ciała w poszukiwaniu śladów prowadzących do reszty rebeliantów... ",2126,18530,0,"fantasy, science fiction",papier,Intruz (tom 1),The Host,Wydawnictwo Dolnośląskie,2013-04-03,2008-11-01,2008-01-01,568,9  godz. 28 min.,polski,9788324594672,Łukasz Witczak,Intruz (2013),25218,6321,3005,8561,413,444,intruz&przyszłość&dusze,3019,3256,4079,4046,2154,1062,351,326,103,134,,,,,,
J.K. Rowling,https://lubimyczytac.pl/autor/3701/j-k-rowling," Książka nagrodzona tytułem Książki Roku 2016 lubimyczytać.pl w kategorii Fantastyka młodzieżowa. Harry Potter nigdy nie miał łatwego życia, a tym bardziej teraz, gdy jest przepracowanym urzędnikiem Ministerstwa Magii, mężem oraz ojcem trójki dzieci w wieku szkolnym.Podczas gdy Harry zmaga się z natrętnie powracającymi widmami przeszłości, jego najmłodszy syn Albus musi zmierzyć się z rodzinnym dziedzictwem, które nigdy nie było jego własnym wyborem. Gdy przyszłość zaczyna złowróżbnie przypominać przeszłość, ojciec i syn muszą stawić czoło niewygodnej prawdzie: że ciemność nadchodzi czasem z zupełnie niespodziewanej strony. ",1993,18795,0,literatura młodzieżowa,papier,Harry Potter (tom 8),Harry Potter and the Cursed Child,Media Rodzina,2016-10-22,2016-10-22,2016-07-31,368,6  godz. 8 min.,polski,9788380082281,"Małgorzata Hesko-Kołodzińska, Piotr Budkiewicz",,26048,7975,802,5929,,309,fantastyka&j.k.rowling&harry potter&przeklęte dziecko,1128,987,2336,4045,4491,2780,1225,989,465,349,#0 Top 100 1 nagroda,Jack Thorne,https://lubimyczytac.pl/autor/127723/jack-thorne,,John Tiffany,https://lubimyczytac.pl/autor/127724/john-tiffany
Adam Mickiewicz,https://lubimyczytac.pl/autor/6520/adam-mickiewicz," Dziady Adama Mickiewicza to jeden z najbardziej znanych utworów w literaturze polskiej i jednocześnie jedno z dzieł najbardziej reprezentatywnych dla polskiego romantyzmu. Od lat regularnie wystawiane na deskach teatrów całej Polski, czytane przez kolejne pokolenia czytelników, inspirujące twórców i niosące wciąż aktualne treści. Każda z części utworu porusza inne tematy, ale razem tworzą spójną wizję świata rządzonego przez niezmienne prawa boskiej sprawiedliwości i miłosierdzia.Wydanie w serii Kolorowa Klasyka przygotowano ze szczególną dbałością o estetykę - kanoniczne XIX-wieczne ilustracje podkreślają atmosferę utworu, a doskonała okładka autorstwa znanego grafika Roberta Konrada przyciągnie oko każdego czytelnika. ",692,18268,0,klasyka,papier,,,Greg,2018-01-01,1900-01-01,,304,5  godz. 4 min.,polski,9788375178302,,,32294,4173,571,1149,,126,,1048,1386,1716,3876,3789,2973,1306,1316,334,524,,,,Kolorowa Klasyka,,
