,author,author_href,description,number_of_user_opinions,number_of_user_ratings,number_of_discussions,Kategoria,Format,Cykl,Tytuł oryginału,Wydawnictwo,Data wydania,Data 1. wyd. pol.,Data 1. wydania,Liczba stron,Czas czytania,Język,ISBN,Tłumacz,Ekranizacje,number_of_people_read,number_of_people_has,number_of_people_favorite,number_of_people_wants_to_read,number_of_people_wants_as_gift,number_of_people_currently_read,tags,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,url,Inne,author1,author_href1,Seria,author2,author_href2,author3,author_href3,author4,author_href4,author5,author_href5,author6,author_href6,author7,author_href7,author8,author_href8,author9,author_href9,author10,author_href10,author11,author_href11,author12,author_href12,author13,author_href13,author14,author_href14,author15,author_href15,author16,author_href16,author17,author_href17,author18,author_href18,bestseller,description_length,is_top_author
1063,Jadwiga Korczakowska,https://lubimyczytac.pl/autor/30715/jadwiga-korczakowska, Historia niezwykłej przyjaźni między dwoma dziewczynkami - Danusią i Elzą. Powieść po raz pierwszy została wydana w 1962 roku przez Naszą Księgarnię. ,259,4024,0,22,2,4572,,Nasza Księgarnia,2005-01-01,1966-01-01,,156.0,2  godz. 36 min.,polski,83-10-11080-4,,,7082,686,155.0,312,,,dziewczyna&powieść,197,263,452,1254,900,585,136,172,23,42,https://lubimyczytac.pl/ksiazka/50811/spotkanie-nad-morzem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,151,0
1064,Michel Houellebecq,https://lubimyczytac.pl/autor/23197/michel-houellebecq," Niepokojąca diagnoza współczesnych postaw ludzkich.Młody biolog, przesiadujący w nieskończoność nad swoją pracą, i jego przyrodni brat, pogrążający się w kryzysie psychicznym nałogowy konsument pornografii, uosabiają zdaniem autora dwa skrajne sposoby życia we współczesnej cywilizacji. Kiedy obsesje seksualne przywodzą jednego z braci na skraj obłędu, drugi pracuje nad genetycznym modelem nieśmiertelnej i bezpłciowej istoty ludzkiej. Książka łącząca elementy powieści obyczajowej, eseju i science fiction wywołała we Francji istną burzę, a nieprzyznanie jej autorowi nagrody Goncourtów porównywano z odrzuceniem przez jury „Podróży do kresu nocy” Céline'a. ",372,4121,0,25,2,4572,Particules élémentaires,W.A.B.,2020-01-15,2003-01-01,2001-03-01,400.0,6  godz. 40 min.,polski,9788328074743,Agnieszka Daniłowicz-Grudzińska,Cząstki elementarne (2006),5372,1008,163.0,4079,43.0,123.0,literatura piękna&Michel Houellebecq,217,519,881,1240,671,297,110,118,32,36,https://lubimyczytac.pl/ksiazka/4909556/czastki-elementarne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,662,0
1071,Jacek Galiński,https://lubimyczytac.pl/autor/99025/jacek-galinski," Najpierw włamano się do jej mieszkania. Złodzieje nie tylko ukradli pieniądze, biżuterię czy cenne dokumenty, lecz również sprofanowali najcenniejszą pamiątkę po mężu – jego galowy mundur. Policja zabiera się do śledztwa jak pies do jeża, chociaż ślepy wpadłby na to, że wszystkie tropy prowadzą do sąsiada z góry, faceta bez nogi. Nie ma mowy, tego munduru mu nie przepuści. Postanawia policzyć się z nim sama. Okazuje się jednak, że facet bez nogi został zamordowany, a ona sama jest pierwszą podejrzaną. Nie pozostaje jej nic innego, jak chwycić rączkę wiernego wózka zakupowego i rozpocząć własne śledztwo.Warszawskie bandziory, strzeżcie się! Nadchodzi Zofia Wilkońska, postrach klubów seniora! ",954,4197,0,20,2,5020,,W.A.B.,2019-04-03,2019-04-03,,352.0,5  godz. 52 min.,polski,9788328063624,,,5060,648,,1437,,75.0,komedia kryminalna,211,247,573,1007,1119,534,226,162,67,51,https://lubimyczytac.pl/ksiazka/4879585/kolko-sie-pani-urwalo,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,701,0
1072,Weronika Marczak,https://lubimyczytac.pl/autor/237484/weronika-marczak," Wyjątkowe wydanie specjalne w twardej oprawie - z faksymile podpisu i listem od autorki, barwionymi brzegami i tasiemkami.Największą zmianę, Hailie Monet, widzę w twoich oczach.Widać w nich siłę i ambicję. Ty nie jesteś już tamtą małą, zagubioną i onieśmieloną dziewczynką. Coś się zmieniło.Mamy absolutnie wszystko. Jesteśmy młodzi, atrakcyjni, świetnie ubrani i bogaci. Świat należy do nas. Jeszcze niedawno Hailie Monet uznałaby takie myśli za niestosowne. Teraz uczy się akceptować swój status, doceniać go, a czasem nawet wykorzystywać. Wsadzona do złotej klatki, odkryła, że warto od czasu do czasu prześlizgnąć się między szczebelkami. ",503,4212,0,23,2,3615,,You & YA,2023-11-08,2023-05-17,,1008.0,16  godz. 48 min.,polski,9788328729803,,,5445,779,100.0,991,42.0,145.0,Przemoc&Psychologia&Bracia&Pieniądze&Liceum&High School,668,452,880,983,628,251,143,97,46,64,https://lubimyczytac.pl/ksiazka/5089389/perelka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,644,0
1089,Leonie Swann,https://lubimyczytac.pl/autor/19977/leonie-swann," Fenomenalna historia, w której kryminalne śledztwo prowadzą… owce. Jak wygląda świat widziany ich oczami? Co o nim sądzą, skoro ich życie ogranicza się do pastwiska i słuchania książek (głównie romansów) czytanych na głos przez pasterza? Cóż, czego nie wiedzą, tego się domyślą…Sielskie lato w małym irlandzkim miasteczku. W takiej scenerii toczy się spokojne życie owiec na pastwisku. Sielanka zostaje brutalnie przerwana śmiercią ich pasterza. Zaniepokojone stado postanawia odkryć, kto go zabił. Ale jak to zrobić, skoro tak niewiele rozumieją z ludzkiego świata?W przygotowaniu film w gwiazdorskiej obsadzie, w którym wystąpią między innymi Hugh Jackman, Emma Thompson i Nicholas Brown. Reżyserii podejmie się twórca „Minionków” Kyle Balda, a za scenariusz odpowiada Craig Mazin („The Last of Us”). ",409,4041,0,25,2,4033,Glennkill. Ein Schafskrimi,Grupa Wydawnicza Relacja,2024-11-13,2006-01-01,2007-05-02,484.0,8  godz. 4 min.,polski,9788368021967,Jan Kraśko,,5279,1467,253.0,2052,37.0,115.0,kryminał&filozofia&ekranizacja,157,305,646,1168,957,478,126,149,22,33,https://lubimyczytac.pl/ksiazka/5134680/glennkill-sprawiedliwosc-owiec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,804,0
1095,John Green,https://lubimyczytac.pl/autor/32136/john-green," Książka nominowana w Plebiscycie Książka Roku 2015 lubimyczytać.pl w kategorii Literatura młodzieżowa. Pewnego zimnego wieczoru w Chicago przecinają się ścieżki dwóch Willów Graysonów. Nazywają się tak samo, ale do tej chwili żyli w zupełnie różnych światach. Teraz ich życie rusza w całkiem nowym i nieoczekiwanym kierunku. Po drodze jest miejsce na przyjaźń i miłość, muzykę i futbol, a emocjonalna plątanina znajduje kulminację w najbardziej szalonym i spektakularnym musicalu, jaki kiedykolwiek wystawiono na deskach licealnych scen. ",406,3995,0,23,2,4572,"Will Grayson, Will Grayson",Bukowy Las,2015-03-04,2015-03-04,2011-04-05,368.0,6  godz. 8 min.,polski,9788364481727,,,5741,1936,374.0,4058,221.0,180.0,,283,418,784,1067,805,364,147,86,23,18,https://lubimyczytac.pl/ksiazka/245682/will-grayson-will-grayson,#0 Top 100 1 nagroda,David Levithan,https://lubimyczytac.pl/autor/31912/david-levithan,Myślnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,539,0
1118,Aleksander Fredro,https://lubimyczytac.pl/autor/6241/aleksander-fredro," Klasyka literatury polskiej i światowej w starannym wydaniu z przypisami – to książka, którą warto mieć w swojej domowej biblioteczce i do której warto wracać. Tekst opatrzono wskazówkami interpretacyjnymi i hasłami ułatwiającymi nawigację po książce – dzięki nim łatwo znaleźć potrzebny w trakcie omawiania lektury fragment, zgromadzić materiały do wypracowań i ustnych wypowiedzi, zapamiętać najważniejsze informacje i utrwalić znajomość lektury. ",150,3889,0,18,2,4572,,Wydawnictwo SBM,2023-08-22,1926-01-01,,160.0,2  godz. 40 min.,polski,9788383480312,,,7011,954,115.0,889,,,klasyka&lektura&lektura SBM,112,246,467,1230,876,611,137,154,20,36,https://lubimyczytac.pl/ksiazka/5080900/sluby-panienskie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,450,0
1119,Stephen King,https://lubimyczytac.pl/autor/13997/stephen-king," Czasami prawdziwy mrok nie kryje się w ciemności…Groza nadeszła w styczniu, podczas pełni księżyca.Pierwszy poznał ją uwięziony w zaspach kolejarz. Jej kły rozdarły mu gardło.Miesiąc później w przytulnej sypialni kobieta powitała ją krzykiem.Nikt nie wie, kto będzie następny. Tylko jedno jest pewne: kiedy na niebie znów zapłonie okrągła tarcza księżyca, Tarker Mills ogarnie paraliżujący strach. Bo wiatr niesie ze sobą skowyt, w którym słychać jakby ludzkie słowa. A wokół widać ślady potwora… ",392,3901,0,13,2,4572,The Cycle of the Werewolf,Prószyński i S-ka,2023-08-10,1983-11-01,,128.0,2  godz. 8 min.,polski,9788383520605,Paulina Braiter,,5468,991,53.0,1953,46.0,,Wilkołak&Horror&Stephen&King,88,87,217,555,1124,980,380,309,90,71,https://lubimyczytac.pl/ksiazka/5075327/rok-wilkolaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,498,1
1126,Alicja Sinicka,https://lubimyczytac.pl/autor/143488/alicja-sinicka," Książka, która podbiła serca kilkudziesięciu tysięcy polek.Biznesmen Marek Skalski szuka stażystki do swojej prężnie rozwijającej się firmy. Pomaga mu w tym jego żona Ewa, jak nikt inny znająca preferencje i słabości męża. Doskonale wie, która kandydatka wzbudzi jego zainteresowanie. I nie ma złudzeń – Marek z pewnością zdradzi ją po raz kolejny. To tylko kwestia czasu.Dwudziestodwuletnia Klaudia Neter jest świadoma, że lukratywny staż u Skalskiego może być jedyną realną szansą na lepszą przyszłość. Choć pierwsze dni nie zwiastują nic niepokojącego, z czasem odczuwa coraz większe obawy. Szybko zostaje uwikłana w niebezpieczny trójkąt, a nowa relacja zaczyna ją osaczać.Tymczasem w Odrze odnajduje się ciało młodej kobiety. Okazuje się, że była stażystką w firmie Skalskiego. Klaudia nie chce podzielić jej losu. Nie wie jednak, skąd nadchodzi niebezpieczeństwo.„Zapraszam do lektury powieści, dzięki której weszłam do świata thrillerów psychologicznych. Na początku myślałam, że będzie to jednorazowa przygoda, a jednak zostałam w nim już na dobre. Zanurzyłam się w atmosferze napięcia i niedomówień, które towarzyszą tego typu historiom. Pisząc Stażystkę, odnalazłam swoje prawdziwe twórcze „ja” i choć w ciągu tych kilku lat mój styl nieco ewoluował, zawdzięczam tej opowieści bardzo wiele, wracam też do niej z wielkim sentymentem. Wierzę, że Stażystka zaintryguje i wywoła wiele emocji” Alicja Sinicka ",864,4044,0,20,2,4572,,W.A.B.,2024-06-05,2020-01-29,,432.0,7  godz. 12 min.,polski,9788383197883,,,4753,414,41.0,2223,,85.0,,252,311,704,1187,874,387,157,109,33,30,https://lubimyczytac.pl/ksiazka/5114702/stazystka,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1415,0
1127,Adam Mickiewicz,https://lubimyczytac.pl/autor/6520/adam-mickiewicz,    10  200  ocen  9  274  ocen  8  353  ocen  7  810  ocen  6  724  ocen  5  618  ocen  4  296  ocen  3  332  ocen  2  100  ocen  1  151  ocen ,143,3859,0,25,2,4572,,Czytelnik,1974-01-01,1953-01-01,,261.0,4  godz. 21 min.,polski,,,,6776,566,104.0,116,,,,200,274,353,810,724,618,296,332,100,151,https://lubimyczytac.pl/ksiazka/306903/dziadow-czesc-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,144,0
